pattern,why_it_fails,correct_approach,applies_to,severity
Using old teal #00B7CE instead of Em Agency teal #52B5CB,"#00B7CE was a placeholder derived from SVG extraction before Em Agency delivered the official brand guide. The official color is #52B5CB — softer, warmer, more editorial.",Always use #52B5CB for teal. Audit any existing files and replace #00B7CE with #52B5CB throughout.,All GRM materials,CRITICAL
Using gold #C9973A anywhere in GRM materials,Gold was retired permanently in March 2026 after Em Agency delivered the official 4-color palette. Gold signals generic real estate franchise — the opposite of locally rooted independent media.,Replace all gold with teal #52B5CB for accents or warm brown #9D8365 for earth tones. Gold is banned.,All GRM materials,CRITICAL
Using dusty rose or sage green in Closing Table materials,These colors are Front Porch publication colors only. Applying them to Closing Table materials confuses the three-brand architecture and undermines CT's authoritative professional tone.,"Closing Table uses near-black, teal, cream, and white only. Never dusty rose. Never sage green.",Closing Table,HIGH
Generic stock photography with no Marion County connection,Looks like any city in America. Destroys local credibility with Ocala audience who immediately recognize fake or generic imagery. Especially damaging for a publication claiming to be locally rooted.,"Use Marion County specific imagery: horse farms with board fencing, Spanish moss on live oaks, Tuscawilla Park lake reflection, Downtown Ocala Square gazebo, flat Florida terrain with golden light. Photos sourced from Em Agency library are approved.",All pages and covers,HIGH
Flat terrain violation — hills or mountains visible in background,"Ocala is flat horse country. Any visible hill, mountain, or rocky landscape tells locals immediately this content was not made for them. Fatal credibility error for a local publication.",Flat terrain only. No hills. No mountains. No Pacific Northwest trees. No Northeast architecture. Every outdoor photo must pass the Marion County test.,All photography,HIGH
Using em dashes anywhere in GRM copy,Em dashes are the single most recognizable AI writing tell. GRM voice is warm and conversational. Em dashes read as academic and stiff. One of the banned punctuation marks across all six voices.,Use periods and short sentences instead. 'She wasn't just selling a house — she was selling a feeling' becomes 'She wasn't just selling a house. She was selling a feeling.',All body copy,HIGH
Tombstoning headlines — two headlines at same visual weight with no content between,Creates a visual wall readers skip. Especially damaging in editorial layouts where the reader should be guided through content smoothly.,"Always separate headlines with body content, imagery, or whitespace. Alternate content types: headline then body then image then headline.",PDF layouts and website sections,HIGH
Badge or label colliding with headline — less than 8pt clearance,Badge overlapping or crowding a headline makes both unreadable. Looks rushed and unprofessional. Fatal for a media company whose entire value proposition is premium editorial quality.,Minimum 8pt clear space between badge bottom and headline top. 22pt or more preferred. Test at 150% zoom before finalizing.,PDF covers and section openers,HIGH
Missing three-brand hierarchy on any page,Leading with a publication name without GET ROOTED MEDIA above it confuses brand architecture. Readers do not know who the publisher is. Undermines the parent brand's credibility.,GET ROOTED MEDIA is always the parent publisher on every page. Publication name is secondary. Content title is tertiary. Never let content title outrank GRM.,All materials,HIGH
Using Comfortaa in sentence case for display headlines,Comfortaa is Em Agency's display font and it reads best in ALL CAPS for headlines. Sentence case at large sizes loses the editorial authority the font is designed to deliver.,Use Comfortaa ALL CAPS for display headlines and section headers. Title case is acceptable at subheader level (18pt) and below.,Display and section headers,MEDIUM
Using Nunito for display headlines instead of Comfortaa,Nunito is the body sans-serif. Using it at display scale makes headlines feel generic rather than branded. The font pairing is intentional — Comfortaa headlines over Nunito body text.,"Comfortaa for all display and header text. Nunito for body, captions, labels, and navigation only.",Typography hierarchy,MEDIUM
Stretched or distorted photos not maintaining aspect ratio,Looks amateurish immediately. Signals the creator does not care about quality — fatal for a media company whose entire brand is premium editorial content.,Always use fill-and-crop. Scale to fill frame and clip overflow. Never stretch to fit. Minimum 800px wide for full-bleed photography.,All photography,HIGH
Unnecessary dark overlay on photos that do not need it,Dims beautiful Marion County photography and makes pages feel heavy. Only justified when white text must be readable over a complex photo.,"Only add dark overlay at 0.55-0.72 alpha when white headline text must be readable over a photo. If no text overlays the photo, skip the overlay entirely.",Hero sections and pull quote pages,MEDIUM
Duplicate photos across documents or pages,Reusing the same photo across different sections or publications looks lazy and breaks the premium editorial feel that justifies the advertising rates.,"Every photo must be unique within a document and across paired documents. Cover hero, publication pages, and pull quote backgrounds all require distinct images.",All materials,MEDIUM
Using Grand Hotel script for anything except 'The' above publication names,Grand Hotel is a decorative script reserved exclusively for the 'The' in 'The Closing Table' and 'The Front Porch' publication names. Using it elsewhere dilutes the brand mark.,"Grand Hotel appears only before the publication masthead. Never use for body content, navigation, CTAs, or section headers.",All materials,MEDIUM
Running body text below 10pt in any format,Below 10pt body text becomes difficult to read in print and creates accessibility issues on screen. GRM publications must be readable for all ages — including senior real estate professionals.,"Body text minimum 10pt in print, 14px on screen. Captions minimum 9pt print, 12px screen.",All body and caption text,MEDIUM
Using colorful abstract imagery for section headers in media kits,The existing media kits use colorful abstract book imagery for section headers — this was an early design iteration. Website and publications should use real Marion County photography wherever possible.,Reserve abstract imagery for media kit marketing materials only. Website and publication pages use real Marion County photography.,Website and publications,LOW
