category,rule,do_pattern,dont_pattern,severity,notes
Navigation,Keep navigation flat and clear — no more than 5 top-level items for GRM website,Home / The Closing Table / The Front Porch / Advertise / Contact — five items maximum. Logo links to home. Teal CTA button for Advertise in nav.,Never use dropdown mega-menus. Never hide key pages in nested navigation. Never put Contact behind a hamburger menu on desktop.,HIGH,GRM website has a simple structure. Agents and homeowners should find their publication in one click from anywhere.
Navigation,Navigation must clearly separate the two audiences from the first glance,"Two distinct publication names visible in nav. Consider visual differentiation — Closing Table in one style, Front Porch in another.",Never group both publications under a generic 'Publications' dropdown that requires a second click to differentiate.,HIGH,Self-selection is the most important UX job on this site.
Typography,Never set Comfortaa below 16px on screen — it loses legibility at small sizes,Use Comfortaa at 24px and above for headers. Drop to Nunito for any text below 18px.,"Never use Comfortaa for body text, captions, or small labels. It is a display font.",HIGH,Comfortaa is rounded and distinctive at display size. It muddies at small sizes.
Typography,Body text minimum 16px on screen for Nunito — 14.5px is the print equivalent,Set base body font-size: 16px in CSS. Line-height 1.6 for Nunito body text.,Never set body text below 16px on screen. Never set line-height below 1.4 for any paragraph text.,HIGH,Accessibility and readability. GRM's agent audience includes people in their 50s-60s.
Typography,Maintain strict typographic hierarchy across all pages,H1: Comfortaa Bold 48px+ / H2: Comfortaa Bold 32px / H3: Comfortaa Semibold 24px / Body: Nunito Regular 16px / Caption: Nunito Regular 12px,Never skip heading levels. Never use font-size alone to create hierarchy — use the correct HTML heading level too.,MEDIUM,Heading hierarchy affects both visual clarity and SEO.
Color,Always verify color contrast ratios meet WCAG AA minimum,"Near-black #1A1A1A on Warm Cream #FAF8F4 = 16.7:1 ratio (passes). White #FFFFFF on Teal #52B5CB = 3.2:1 (use for large text only, 18px+)",Never use teal #52B5CB as body text color on cream — it fails WCAG AA for small text. Never use dusty rose as text on white.,HIGH,Teal is an accent and CTA color — not a body text color. This is a common mistake.
Color,Use teal sparingly as a true accent — maximum 2-3 teal elements per section,One teal CTA button per section. One teal accent line or divider. One teal label or badge if needed.,Never flood a section with teal. Never use teal as a background for full content sections. Never use three competing teal elements at the same visual weight.,MEDIUM,Teal loses its power as an accent when overused.
Layout,"Mobile layout must stack vertically — publication cards, team photos, and stats go single column","Use CSS Grid or Flexbox with responsive breakpoints. Test at 375px (iPhone SE), 768px (iPad), 1280px (desktop).",Never rely on horizontal side-by-side layouts that collapse poorly on mobile. Never use fixed pixel widths on content sections.,HIGH,Marion County's real estate agent audience uses mobile heavily. A broken mobile layout kills credibility.
Layout,Section spacing must be generous — 80px vertical padding between major sections on desktop,Use 80px top and bottom padding on full-width sections. 48px between card grid items. 32px inside card padding.,Never compress sections to save space. Whitespace signals premium quality. A crowded layout feels cheap.,MEDIUM,Em Agency's design language is generous with whitespace. The CSV files confirm this.
Layout,Hero section must be full viewport height on desktop with the Marion County photo,min-height: 100vh on the hero. Photo fills the space with object-fit: cover. Logo and headline positioned in the lower third or center.,Never use a short hero that makes the page feel like a landing page template. Never use a generic gradient background as a hero substitute.,HIGH,The 1-Horse-Country-1.jpeg photo is too strong to waste in a small space.
Forms,"Contact and inquiry forms must be simple — name, email, company, message, inquiry type",Four to five fields maximum. Inquiry type as a select: Advertise / General / Media Inquiry. Teal submit button. Clear placeholder text in Nunito.,Never add unnecessary fields (phone number is optional). Never use CAPTCHA without strong spam evidence. Never auto-scroll to form without user intent.,MEDIUM,Every extra field reduces form completion rate. Keep it minimal.
CTAs,Each section should have one primary CTA — not two or three competing actions,"One teal button per section. If a secondary link is needed, style it as an underlined text link in teal — not a second button.",Never place two equal-weight teal buttons in the same section. Never use three CTAs on the same screen view.,HIGH,Decision paralysis. One clear next step per section.
Animation,Use subtle entrance animations — content that fades in as it scrolls into view,"Fade-in with slight upward translate: opacity 0 to 1, translateY 20px to 0, 0.4s ease-out. Trigger on IntersectionObserver.",Never use heavy animations that delay content visibility. Never animate more than 3 elements simultaneously. Never animate on every scroll.,LOW,"Animations should feel editorial and refined, not startup-flashy."
Performance,Images must be optimized before deployment,Convert JPEGs to WebP format. Compress to under 200KB for hero images. Use lazy loading for below-fold images. Use srcset for responsive images.,Never deploy the raw camera JPEGs from Em Agency — they are 5-10MB each. Never use a single massive image without responsive variants.,HIGH,The DSC files from the photo shoot are full-resolution camera files. They need compression before web use.
SEO,Every page needs a unique title tag and meta description referencing Marion County,"Title: The Closing Table | Marion County Real Estate Magazine | Get Rooted Media. Meta: 150-160 characters, include Marion County and the specific publication value proposition.",Never use generic titles like 'Home Page' or 'Publications'. Never duplicate meta descriptions across pages.,MEDIUM,Marion County is a strong local SEO keyword. Use it consistently.
Accessibility,All images need descriptive alt text referencing Marion County context,Alt text: 'Two horses grazing at golden hour on a Marion County horse farm with Spanish moss trees in background' — specific and descriptive.,Never use generic alt text like 'image' or 'photo'. Never leave alt text empty on meaningful images.,MEDIUM,Descriptive alt text also helps with local SEO.
