element,font_family,font_source,size_pt,size_px,weight,line_height,color,notes,publication
display_headline,Comfortaa,Google Fonts,48-72,64-96,700 Bold,1.1,#FFFFFF on dark or #1A1A1A on light,ALL CAPS always. Used for publication mastheads: THE CLOSING TABLE and FRONT PORCH. The defining typographic voice of GRM. Never use sentence case for display headlines.,Both
publication_script,Grand Hotel,Google Fonts,24-36,32-48,400 Regular,1.2,#1A1A1A or #FFFFFF,Italic script used exclusively for 'The' above publication names. Sets editorial tone. Never use for body content or navigation.,Both
section_header,Comfortaa,Google Fonts,24,32,700 Bold,1.2,#1A1A1A on light or #FFFFFF on dark,"H2 level. Used for editorial section headers: THE STORY, THE MARKET, THE AUDIENCE. All caps. Teal bar treatment optional.",Both
page_subheader,Comfortaa,Google Fonts,18,24,600 Semibold,1.3,#1A1A1A,H3 level. Section dividers within a page. Title case acceptable at this level.,Both
body_text,Nunito,Google Fonts,11,14.5,400 Regular,1.6,#1A1A1A,Primary body text throughout all GRM materials. Clean and readable at small sizes. UTF-8 encoding required. Never below 10pt in print.,Both
body_serif,Merriweather,Google Fonts,11,14.5,300 Light,1.6,#1A1A1A,"Editorial body text for long-form content. Feature articles, agent profiles, homeowner stories. Pairs with Comfortaa headlines for premium editorial feel.",Both
pull_quote,Merriweather,Google Fonts,20,26,400 Italic,1.4,#78AD4E for Front Porch or #52B5CB for GRM/CT,Italic pull quotes. Front Porch uses sage green italic for warmth. Closing Table uses teal italic for authority. Never use em dashes in pull quotes.,Both
caption_text,Nunito,Google Fonts,9,12,400 Regular,1.4,#666666,Photo captions and footnotes. Slightly lighter gray for visual hierarchy.,Both
footer_text,Nunito,Google Fonts,8,10.5,400 Regular,1.3,#1A1A1A or #FFFFFF,"Logo left, publication name and page number right. Teal rule line above. Consistent across all pages.",Both
badge_text,Comfortaa,Google Fonts,10,13,700 Bold,1,#FFFFFF,Inside pill badge. ALL CAPS. Letter-spacing 1.5px. Min 8pt clear space below badge before headline starts.,Both
stat_callout_number,Comfortaa,Google Fonts,48,64,700 Bold,1,#52B5CB,Large feature numbers for market data callouts. Teal color only. Label below at 12pt Nunito Regular in near-black.,Both
byline,Nunito,Google Fonts,10,13,400 Regular,1.3,#666666,Format: Name comma Title comma Location. No dash prefix in GRM style.,Both
nav_label,Comfortaa,Google Fonts,12,16,600 Semibold,1,#1A1A1A,Website navigation and UI labels. Title case for nav. All caps for header bar labels with 2px letter-spacing.,Both
card_heading,Comfortaa,Google Fonts,14,18.5,700 Bold,1.2,#FFFFFF on dark or teal cards,Card headlines. All caps optional for Closing Table. Title case for Front Porch cards.,Both
card_body,Nunito,Google Fonts,11,14.5,400 Regular,1.4,#FFFFFF on dark cards or #1A1A1A on light,All card text must be fully visible. Never truncate with ellipsis on printed materials.,Both
google_fonts_link,Combined URL,,,,,,,"https://fonts.google.com/share?selection.family=Comfortaa:wght@400;600;700|Grand+Hotel|Merriweather:ital,wght@0,300;0,400;1,300;1,400|Nunito:wght@400;600;700",Both
